Date,MCP
1/12/2017,2954.6
2/12/2017,3016.22
3/12/2017,2829.64
4/12/2017,3294.17
5/12/2017,3054.37
6/12/2017,2689.75
7/12/2017,2592.74
8/12/2017,2798.8
9/12/2017,2769.77
10/12/2017,2671.52
11/12/2017,3173.79
12/12/2017,3369.6
13/12/2017,3239.67
14/12/2017,3355.06
15/12/2017,3533.1
16/12/2017,3633.06
17/12/2017,3005.1
18/12/2017,3195.03
19/12/2017,3198.08
20/12/2017,2973.39
21/12/2017,2903.24
22/12/2017,2852.74
23/12/2017,2792.4
24/12/2017,2559.26
25/12/2017,2846.24
26/12/2017,2993.5
27/12/2017,2904.23
28/12/2017,2899.38
29/12/2017,2917.54
30/12/2017,3039.6
31/12/2017,3010.8
1/1/2018,3149.72
2/1/2018,2913
3/1/2018,3171.74
4/1/2018,3160.43
5/1/2018,3133.63
6/1/2018,3231.9
7/1/2018,2996.52
8/1/2018,3385.23
9/1/2018,3072.9
10/1/2018,2925.66
11/1/2018,2978.92
12/1/2018,3334.42
13/1/2018,3202.78
14/1/2018,2949.35
15/1/2018,3360.05
16/1/2018,3316.66
17/1/2018,3312.2
18/1/2018,3593.89
19/1/2018,3373.76
20/1/2018,3110.34
21/1/2018,2871.24
22/1/2018,3274.75
23/1/2018,3367.42
24/1/2018,3450.51
25/1/2018,3443.02
26/1/2018,2999.68
27/1/2018,3504.45
28/1/2018,2956.84
29/1/2018,3256.93
30/1/2018,3189.95
31/1/2018,3191.68
1/2/2018,3348.72
2/2/2018,3033.08
3/2/2018,3026.73
4/2/2018,2831.91
5/2/2018,3146.98
6/2/2018,3023.77
7/2/2018,3168.34
8/2/2018,3324.13
9/2/2018,3516.16
10/2/2018,3546.76
11/2/2018,3177.24
12/2/2018,3191.75
13/2/2018,2799.71
14/2/2018,2676.49
15/2/2018,2684.65
16/2/2018,2900
17/2/2018,3031.07
18/2/2018,2968.13
19/2/2018,3476.58
20/2/2018,3529.61
21/2/2018,3735
22/2/2018,3384.05
23/2/2018,3486.07
24/2/2018,3775.66
25/2/2018,3099.75
26/2/2018,3563.98
27/2/2018,3455.03
28/2/2018,3518.39
1/3/2018,3936.68
2/3/2018,2910.74
3/3/2018,3188.53
4/3/2018,3087.24
5/3/2018,4033.43
6/3/2018,3690.5
7/3/2018,4198.58
8/3/2018,4004.69
9/3/2018,4371.75
